Name	Aura	Caster Level	Slot	Price	Weight	Description	Construction
Deck of Illusions	moderate illusion	6th	-	8,100 gp	1/2 lb	This set of parchment cards is usually found in an ivory, leather, or wooden box. A full deck consists of 34 cards. When a card is drawn at random and thrown to the ground, a major image of a creature is formed. The figment lasts until dispelled. The illusory creature cannot move more than 30 feet away from where the card landed, but otherwise moves and acts as if it were real. At all times it obeys the desires of the character who drew the card. When the illusion is dispelled, the card becomes blank and cannot be used again. If the card is picked up, the illusion is automatically and instantly dispelled. The cards in a deck and the illusions they bring forth are summarized on the following table. (Use one of the first two columns to simulate the contents of a full deck using either ordinary playing cards or tarot cards.)  Playing Card        Tarot Card        Creature Ace of hearts        IV. The Emperor        Red dragon King of hearts        Knight of swords        Male human fighter and four guards Queen of hearts        Queen of staves        Female human wizard Jack of hearts        King of staves        Male human druid Ten of hearts        VII. The Chariot        Cloud giant Nine of hearts        Page of staves        Ettin Eight of hearts        Ace of cups        Bugbear Two of hearts        Five of staves        Goblin Playing Card        Tarot Card        Creature Ace of diamonds        III. The Empress        Glabrezu (demon) King of diamonds        Two of cups        Male elf wizard and female apprentice Queen of diamonds        Queen of swords        Half-elf ranger Jack of diamonds        XIV. Temperance        Harpy Ten of diamonds        Seven of staves        Male half-orc barbarian Nine of diamonds        Four of pentacles        Ogre mage Eight of diamonds        Ace of pentacles        Gnoll Two of diamonds        Six of pentacles        Kobold Playing Card        Tarot Card        Creature Ace of spades        II. The High Priestess        Lich King of spades        Three of staves        Three human clerics Queen of spades        Four of cups        Medusa Jack of spades        Knight of pentacles        Male dwarf paladin Ten of spades        Seven of swords        Frost giant Nine of spades        Three of swords        Troll Eight of spades        Ace of swords        Hobgoblin Two of spades        Five of cups        Goblin Playing Card        Tarot Card        Creature Ace of clubs        VIII. Strength        Iron golem King of clubs        Page of pentacles        Three halfling rogues Queen of clubs        Ten of cups        Pixies Jack of clubs        Nine of pentacles        Half-elf bard Ten of clubs        Nine of staves        Hill giant Nine of clubs        King of swords        Ogre Eight of clubs        Ace of staves        Orc Two of clubs        Five of cups        Kobold Playing Card        Tarot Card        Creature Joker        Two of pentacles        Illusion of deck's owner Joker (with trademark)        Two of staves        Illusion of deck's owner (sex reversed) A randomly generated deck is usually complete (11–100 on d%), but may be discovered (01–10) with 1d20 of its cards missing. If cards are missing, reduce the price by a corresponding amount.  	Craft Wondrous Item, major image; Cost 4,050 gp
Dimensional Shackles	moderate abjuration	11th	wrists	28,000 gp	5 lbs	These shackles have golden runes traced across their cold iron links. Any creature bound within them is affected as if a dimensional anchor spell were cast upon it (no save). They fit any Small to Large creature. The DC to break or slip out of the shackles is 30	Craft Wondrous Item, dimensional anchor; Cost 14,000 gp
Drums of Panic	moderate necromancy	7th	-	30,000 gp	10 lbs. for the pair	These drums are kettle drums (hemispheres about 1-1/2 feet in diameter on stands). They come in pairs and are unremarkable in appearance. If both of the pair are sounded, all creatures within 120 feet (with the exception of those within a 20-foot-radius safe zone around the drums) are affected as by afear spell (Will DC 16 partial). Drums of panic can be used once per day	Craft Wondrous Item, fear; Cost 15,000 gp
Dust of Appearance	faint conjuration	5th	-	1,800 gp	-	This powder appears to be a very fine, very light metallic dust. A single handful of this substance flung into the air coats objects within a 10-foot radius, making them visible even if they are invisible. It likewise negates the effects of blur and displacement. In this, it works just like the faerie fire spell. The dust also reveals figments, mirror images, and projected images for what they are. A creature coated with the dust takes a –30 penalty on its Stealth checks. The dust's effect lasts for 5 minutes.  Dust of appearance is typically stored in small silk packets or hollow bone tubes.	Craft Wondrous Item, glitterdust; Cost 900 gp
Dust of Disappearance	moderate illusion	7th	-	3,500 gp	-	This dust looks like dust of appearance and is typically stored in the same manner. A creature or object touched by it becomes invisible (as greater invisibility). Normal vision can't see dusted creatures or objects, nor can they be detected by magical means, including see invisibility or invisibility purge.Dust of appearance, however, does reveal people and objects made invisible by dust of disappearance. Other factors, such as sound and smell, also allow possible detection. The greater invisibility bestowed by the dust lasts for 2d6 rounds. The invisible creature doesn't know when the duration will end.	Craft Wondrous Item, greater invisibility; Cost 1,750 gp
Dust of Dryness	moderate transmutation	11th	-	850 gp	-	This special dust has many uses. If it is thrown into water, a volume of as much as 100 gallons is instantly transformed into nothingness, and the dust becomes a marble-sized pellet, floating or resting where it was thrown. If this pellet is hurled, it breaks and releases the same volume of water. The dust affects only water (fresh, salt, alkaline), not other liquids.  If the dust is employed against an outsider with the elemental and water subtypes, the creature must make a DC 18 Fortitude save or be destroyed. The dust deals 5d6 points of damage to the creature even if its saving throw succeeds.	Craft Wondrous Item, control water; Cost 425 gp
Dust of Illusion	moderate illusion	6th	-	1,200 gp	-	This unremarkable powder resembles chalk dust or powdered graphite. Stare at it, however, and the dust changes color and form. Put dust of illusion on a creature, and that creature is affected as if by a disguise self glamer, with the individual who sprinkles the dust envisioning the illusion desired. An unwilling target is allowed a DC 11 Reflex save to avoid the dust. The glamer lasts for 2 hours.	Craft Wondrous Item, disguise self; Cost 600 gp
Dust of Trancelessness	faint transmutation	3rd	-	250 gp	-	This normal-seeming dust is actually a magic powder that can conceal the passage of its possessor and his companions. Tossing a handful of this dust into the air causes a chamber of up to 100 square feet of floor space to become as dusty, dirty, and cobweb-laden as if it had been abandoned and disused for a decade.  A handful of dust sprinkled along a trail causes evidence of the passage of as many as a dozen men and horses to be obliterated for 250 feet back into the distance. The results of the dust are instantaneous, and no magical aura lingers afterward from this use of the dust. Survival checks made to track a quarry across an area affected by this dust have a DC 20 higher than normal.	Craft Wondrous Item, pass without trace; Cost 125 gp
Efficient Quiver	moderate conjuration	9th	-	1,800 gp	2 lbs	This appears to be a typical arrow container capable of holding about 20 arrows. It has three distinct portions, each with a nondimensional space allowing it to store far more than would normally be possible. The first and smallest one can contain up to 60 objects of the same general size and shape as an arrow. The second slightly longer compartment holds up to 18 objects of the same general size and shape as a javelin. The third and longest portion of the case contains as many as 6 objects of the same general size and shape as a bow (spears, staves, or the like). Once the owner has filled it, the quiver can quickly produce any item she wishes that is within the quiver, as if from a regular quiver or scabbard. The efficient quiver weighs the same no matter what's placed inside it	Craft Wondrous Item, secret chest; Cost 900 gp
Efreeti Bottle	strong conjuration	14th	-	145,000 gp	1 lb	This item is typically fashioned of brass or bronze, with a lead stopper bearing special seals. Periodically, a thin stream of bitter-smelling smoke issues from the bottle's top. The bottle can be opened once per day. When opened, the efreeti imprisoned within issues from the bottle instantly amid a cloud of noxious smoke. There is a 10% chance (01–10 on d%) that the efreeti is insane and attacks immediately upon being released. There is also a 10% chance (91–100) that the efreeti of the bottle grants three wishes. In either case, afterward the efreeti disappears forever, and the bottle becomes nonmagical. The other 80% of the time (11–90), the inhabitant of the bottle loyally serves the character for up to 10 minutes per day (or until the efreeti's death), doing as she commands. Roll each day the bottle is opened for that day's effect.	Craft Wondrous Item, planar binding; Cost 72,500 gp
Elemental Gem	moderate conjuration	11th	-	2,250 gp	-	An elemental gem comes in one of four different varieties. Each contains a conjuration spell attuned to a specific elemental plane (Air, Earth, Fire, or Water).  When the gem is crushed, smashed, or broken (a standard action), a Large elemental appears as if summoned by a summon nature's ally spell. The elemental is under the control of the creature that broke the gem.  The coloration of the gem varies with the type of elemental it summons. Air elemental gems are transparent, earth elemental gems are light brown, fire elemental gems are reddish orange, and water elemental gems are blue-green.	Craft Wondrous Item, summon monster V or summon nature's ally V; Cost 1,125 gp
Elixir of Fire Breath	moderate evocation	11th	-	1,100 gp	-	This strange bubbling elixir bestows upon the drinker the ability to spit gouts of flame. He can breathe fire up to three times, each time dealing 4d6 points of fire damage to a single target up to 25 feet away. The victim can attempt a DC 13 Reflex save for half damage. Unused blasts of fire dissipate 1 hour after the liquid is consumed.	Craft Wondrous Item, scorching ray; Cost 550 gp
Elixir of Hiding	faint illusion	5th	-	250 gp	-	A character drinking this liquid gains an intuitive ability to sneak and hide (+10 competence bonus on Stealth checks for 1 hour).	Craft Wondrous Item, invisibility; Cost 125 gp
Elixir of Love	faint enchantment	4th	-	150 gp	-	This sweet-tasting liquid causes the character drinking it to become enraptured with the first creature she sees after consuming the draft (as charm person—the drinker must be a humanoid of Medium or smaller size, Will DC 14 negates). The charm effect wears off in 1d3 hours	Craft Wondrous Item, charm person; Cost 75 gp
Elixir of Swimming	faint transmutation	2nd	-	250 gp	-	This elixir bestows swimming ability. An almost imperceptible magic sheath surrounds the drinker, allowing him to glide through the water easily (+10 competence bonus on Swim checks for 1 hour).	Craft Wondrous Item, creator must have 5 ranks in the Swim skill; Cost 125 gp
Elixir of Truth	faint enchantment	5th	-	500 gp	-	This elixir forces the drinker it to say nothing but the truth for 10 minutes (Will DC 13 negates). She must answer any questions put to her in that time, but with each question she can make a separate DC 13 Will save. If one of these secondary saves is successful, she doesn't break free of the truth-compelling enchantment but also doesn't have to answer that particular question (if she does answer, she must tell the truth). No more than one question can be asked each round. This is a mind-affecting compulsion enchantment	Craft Wondrous Item, zone of truth; Cost 250 gp
Elixir of Tumbling	faint transmutation	5th	-	250 gp	-	This draught of liquid grants the drinker the ability to tumble about, avoiding attacks and moving carefully across nearly any surface, granting a +10 competence bonus on Acrobatics checks for 1 hour	Craft Wondrous Item, cat's grace; Cost 125 gp
Elixir of Vision	faint divination	2nd	-	250 gp	-	Drinking this elixir grants the imbiber the ability to notice acute details with great accuracy (+10 competence bonus on Perception checks for 1 hour).	Craft Wondrous Item, true seeing; Cost 125 gp
Eversmoking Bottle	faint transmutation	3rd	-	5,400 gp	1 lb	This metal urn is identical in appearance to an efreeti bottle, except that it does nothing but smoke. The amount of smoke is great if the stopper is pulled out, pouring from the bottle and totally obscuring vision across a 50-foot spread in 1 round. If the bottle is left unstoppered, the smoke billows out another 10 feet per round until it has covered a 100-foot radius. This area remains smoke-filled until the eversmoking bottle is stoppered.  The bottle must be resealed by a command word, after which the smoke dissipates normally. A moderate wind (11+ mph) disperses the smoke in 4 rounds; a strong wind (21+ mph) disperses the smoke in 1 round	Craft Wondrous Item, pyrotechnics; Cost 2,700 gp
Eyes of Charming	moderate enchantment	7th	eyes	56,000 gp for a pair	-	These two crystal lenses fit over the user's eyes. The wearer is able to use charm person (one target per round) merely by meeting a target's gaze. Those failing a DC 16 Will save are charmed as per the spell. Both lenses must be worn for the magic item to take effect	Craft Wondrous Item, Heighten Spell, charm person; Cost 28,000 gp
Eyes of Doom	moderate necromancy	11th	eyes	25,000 gp	-	These crystal lenses fit over the user's eyes, enabling him to cast doom upon those around him (one target per round) as a gaze attack, except that the wearer must take a standard action, and those merely looking at the wearer are not affected. Those failing a DC 11 Will save are affected as by the doomspell. The wearer also gains the additional power of a continual deathwatch effect and can use fear (Will DC 16 partial) as a normal gaze attack once per week. Both lenses must be worn for the magic item to take effect.	Craft Wondrous Item, doom, deathwatch, fear; Cost 12,500 gp
Eyes of the Eagle	faint divination	3rd	eyes	2,500 gp	-	These items are made of special crystal and fit over the eyes of the wearer. These lenses grant a +5 competence bonus on Perception checks. Wearing only one of the pair causes a character to become dizzy and stunned for 1 round. Both lenses must be worn for the magic item to take effect.	Craft Wondrous Item, clairaudience/clairvoyance; Cost 1,250 gp
Feather Token	strong conjuration	12th	-	50 gp (anchor), 300 gp (bird), 200 gp (fan), 450 gp (swan boat), 400 gp (tree), 500 gp (whip)	-	Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed—even tokens with identical powers can be wildly different in appearance.  Anchor: A token that creates an anchor that moors a craft in water so as to render it immobile for up to 1 day.  Bird: A token that creates a small bird that can be used to deliver a small written message unerringly to a designated target. The token lasts as long as it takes to carry the message.  Fan: A token that forms a huge flapping fan, causing a breeze of sufficient strength to propel one ship (about 25 mph). This wind is not cumulative with existing wind speed. The token can, however, be used to lessen existing winds, creating an area of relative calm or lighter winds (but wave size in a storm is not affected). The fan can be used for up to 8 hours. It does not function on land.  Swan Boat: A token that forms a swan-like boat capable of moving on water at a speed of 60 feet. It can carry eight horses and gear, 32 Medium characters, or any equivalent combination. The boat lasts for 1 day.  Tree: A token that causes a great oak to spring into being (5-foot-diameter trunk, 60-foot height, 40-foot top diameter). This is an instantaneous effect.  Whip: A token that forms into a huge leather whip and wields itself against any opponent desired just like a dancing weapon. The weapon has a +10 base attack bonus, does 1d6+1 points of nonlethal damage, has a +1 enhancement bonus on attack and damage rolls, and a makes a free grapple attack (with a +15 bonus on its combat maneuver checks) if it hits. The whip lasts no longer than 1 hour.	Craft Wondrous Item, major creation; Cost 25 gp (anchor), 150 gp (bird), 100 gp (fan), 225 gp (swan boat), 200 gp (tree), 250 gp (whip)
Figurines of Wonderous Power	varies	varies	-	10,000 gp (bronze griffon), 10,000 gp (ebony fly), 16,500 gp (golden lions), 21,000 gp (ivory goats), 17,000 gp (marble elephant), 28,500 gp (obsidian steed), 15,500 gp (onyx dog), 9,100 gp (serpentine owl), 3,800 gp (silver raven)	1 lb	Each of the several kinds of figurines of wondrous power appears to be a miniature statuette of a creature an inch or so high (with one exception). When the figurine is tossed down and the correct command word spoken, it becomes a living creature of normal size (except when noted otherwise below). The creature obeys and serves its owner. Unless stated otherwise, the creature understands Common but does not speak.  If a figurine of wondrous power is broken or destroyed in its statuette form, it is forever ruined. All magic is lost, its power departed. If slain in animal form, the figurine simply reverts to a statuette that can be used again at a later time.  Bronze Griffon: When animated, a bronze griffon acts in all ways like a normal griffon under the command of its possessor. The item can be used twice per week for up to 6 hours per use. When 6 hours have passed or when the command word is spoken, the bronze griffon once again becomes a tiny statuette. Moderate transmutation; CL 11th; Craft Wondrous Item, animate objects.  Ebony Fly: When animated, an ebony fly is the size of a pony and has all the statistics of a pegasus but can make no attacks. The item can be used three times per week for up to 12 hours per use. When 12 hours have passed or when the command word is spoken, the ebony fly again becomes a tiny statuette. Moderate transmutation; CL 11th; Craft Wondrous Item, animate objects.  Golden Lions: These figurines come in pairs. They become normal adult male lions. If slain in combat, the lions cannot be brought back from statuette form for 1 full week. Otherwise, they can be used once per day for up to 1 hour. They enlarge and shrink upon speaking the command word. Moderate transmutation; CL 11th; Craft Wondrous Item, animate objects.  Ivory Goats: These figurines come in threes. Each goat of this trio looks slightly different from the others, and each has a different function:  The Goat of Traveling: This statuette provides a speedy and enduring mount equal to that of a heavy horse in every way except appearance. The goat can travel for a maximum of 1 day each week—continuously or in any combination of periods totaling 24 hours. At this point, or when the command word is uttered, it returns to its statuette form for no less than 1 day before it can again be used. The Goat of Travail: This statuette becomes an enormous creature, larger than a bull, with the statistics of a nightmare except for the addition of a pair of wicked horns of exceptional size (damage 1d8+4 for each horn). If it is charging to attack, it may only use its horns (but add 6 points of damage to each successful attack in that round). It can be called to life just once per month for up to 12 hours at a time. The Goat of Terror: When called upon with the proper command word, this statuette becomes a destrier-like mount with the statistics of a light horse. However, its rider can employ the goat's horns as weapons (one horn as a +3 heavy lance, the other as a +5 longsword). When ridden in an attack against an opponent, the goat of terror radiates fear as the spell in a 30-foot radius (Will DC 16 partial). It can be used once every 2 weeks for up to 3 hours per use. Moderate transmutation; CL 11th; Craft Wondrous Item, animate objects. Marble Elephant: This is the largest of the figurines, the statuette being about the size of a human hand. Upon utterance of the command word, a marble elephant grows to the size and specifications of a true elephant. The animal created from the statuette is fully obedient to the figurine's owner, serving as a beast of burden, a mount, or a combatant. The statuette can be used four times per month for up to 24 hours at a time. Moderate transmutation; CL 11th; Craft Wondrous Item, animate objects.  Obsidian Steed: This figurine appears to be a small, shapeless lump of black stone. Only careful inspection reveals that it vaguely resembles some form of quadruped. On command, the near-formless piece of obsidian becomes a fantastic mount. Treat it as a heavy horse with the following additional powers usable once per round at will: overland flight, plane shift, and ethereal jaunt. The steed allows itself to be ridden, but if the rider is of good alignment, the steed is 10% likely per use to carry him to the lower planes and then return to its statuette form. The statuette can be used once per week for one continuous period of up to 24 hours. Note that when an obsidian steed becomes ethereal or plane shifts, its rider and his gear follow suit. Thus, the user can travel to other planes via this means. Strong conjuration and transmutation; CL 15th; Craft Wondrous Item, animate objects, etherealness, fly, plane shift.  Onyx Dog: When commanded, this statuette changes into a creature with the same properties as a riding dog except that it is endowed with an Intelligence of 8, can communicate in Common, and has exceptional olfactory and visual abilities. It has the scent ability and adds +4 on its Perception checks. It has 60-foot darkvision, and it can see invisibility. An onyx dog can be used once per week for up to 6 hours. It obeys only its owner. Moderate transmutation; CL 11th; Craft Wondrous Item, animate objects.  Serpentine Owl: This figurine becomes either a normal-sized horned owl or a giant owl (use the stats for the giant eagle) according to the command word used. The transformation can take place once per day, with a maximum duration of 8 continuous hours. However, after three transformations into giant owl form, the statuette loses all its magical properties. The owl communicates with its owner by telepathic means, informing her of all it sees and hears. Moderate transmutation; CL 11th; Craft Wondrous Item, animate objects.  Silver Raven: This silver figurine turns into a raven on command (but it retains its metallic consistency, which gives it hardness 10). Another command sends it off into the air, bearing a message just like a creature affected by an animal messenger spell. If not commanded to carry a message, the raven obeys the commands of its owner, although it has no special powers or telepathic abilities. It can maintain its nonfigurine status for only 24 hours per week, but the duration need not be continuous. Moderate enchantment and transmutation; CL 6th; Craft Wondrous Item, animal messenger, animate objects.	Craft Wondrous Item, animate objects, additional spells, see text; Cost 5,000 gp (bronze griffon), 5,000 gp (ebony fly), 8,250 gp (golden lions), 10,500 gp (ivory goats), 8,500 gp (marble elephant), 14,250 gp (obsidian steed), 7,750 gp (onyx dog), 4,550 gp (serpentine owl), 1,900 gp (silver raven)
Gauntlet of Rust	moderate transmutation	7th	hands	11,500 gp	2 lbs	This single metal gauntlet looks rusted and pitted but is actually quite powerful. Once per day, it can affect an object as with the rusting grasp spell. It also completely protects the wearer and her gear from rust (magical or otherwise), including the attack of a rust monster.	Craft Wondrous Item, rusting grasp; Cost 5,750 gp
Gem of Brightness	moderate evocation	6th	-	13,000 gp	-	This crystal appears to be a long, rough prism. Upon utterance of a command word, though, the gem's facets suddenly grow highly polished as the crystal emits bright light of one of three sorts.  One command word causes the gem to shed light as a hooded lantern. This use of the gem does not expend any charges, and it continues to emit light until this command word is spoken a second time to extinguish the illumination. Another command word causes the gem of brightness to send out a bright ray 1 foot in diameter and 50 feet long. This strikes as a ranged touch attack, and any creature struck by this beam is blinded for 1d4 rounds unless it makes a DC 14 Fortitude save. This use of the gem expends 1 charge. The third command word causes the gem to flare in a blinding flash of light that fills a 30-foot cone. Although this glare lasts but a moment, any creature within the cone must make a DC 14 Fortitude save or be blinded for 1d4 rounds. This use expends 5 charges. A newly created gem of brightness has 50 charges. When all its charges are expended, the gem becomes nonmagical and its facets grow cloudy with a fine network of cracks.\	Craft Wondrous Item, daylight; Cost 6,500 gp
Gem of Seeing	moderate divination	10th	-	75,000 gp	-	This finely cut and polished stone is indistinguishable from an ordinary jewel in appearance. When it is gazed through, a gem of seeing enables the user to see as though she were affected by the true seeing spell. A gem of seeing can be used for as many as 30 minutes a day, in increments of 5 minutes. These increments do not need to be consecutive.	Craft Wondrous Item, true seeing; Cost 37,500 gp
Gloves of Arrow Snaring	faint abjuration	3rd	hands	4,000 gp	-	Once worn, these snug gloves seem to meld with the hands, becoming almost invisible to casual observation. Twice per day, the wearer can act as if he had the Snatch Arrows feat (see Feats for details), even if he does not meet the prerequisites for the feat. Both gloves must be worn for the magic to be effective, and at least one hand must be free to take advantage of the magic	Craft Wondrous Item, shield; Cost 2,000 gp
Glove of Storing	moderate transmutation	6th	hands	10,000 gp (one glove)	-	This device is a single leather glove. On command, one item held in the hand wearing the glove disappears. The item can weigh no more than 20 pounds and must be able to be held in one hand. While stored, the item has negligible weight. With a snap of the fingers wearing the glove, the item reappears. A glove can only store one item at a time. Storing or retrieving the item is a free action. The item is shrunk down so small within the palm of the glove that it cannot be seen. Spell durations are not suppressed, but continue to expire. If the glove's effect is suppressed or dispelled, the stored item appears instantly. A glove of storing uses up your entire hands slot. You may not use another item (even another glove of storing) that also uses the hands slot.	Craft Wondrous Item, shrink item; Cost 5,000 gp
Gloves of Swimming and Climbing	faint transmutation	5th	hands	6,250 gp	-	These apparently normal lightweight gloves grant a +5 competence bonus on Swim checks and Climb checks. Both gloves must be worn for the magic to be effective	Craft Wondrous Item, bull's strength, cat's grace; Cost 3,125 gp
Goggles of Minute Seeing	faint divination	3rd	eyes	2,500 gp	-	The lenses of this item are made of special crystal. When placed over the eyes of the wearer, the lenses enable her to see much better than normal at distances of 1 foot or less, granting her a +5 competence bonus on Disable Device checks. Both lenses must be worn for the magic to be effective.	Craft Wondrous Item, true seeing; Cost 1,250 gp
Goggles of Night	faint transmutation	3rd	eyes	12,000 gp	-	The lenses of this item are made of dark crystal. Even though the lenses are opaque, when placed over the eyes of the wearer, they enable him to see normally and also grant him 60-foot darkvision. Both lenses must be worn for the magic to be effective	Craft Wondrous Item, darkvision; Cost 6,000 gp
Golem Manual	varies	varies	-	12,000 gp (clay), 8,000 gp (flesh), 35,000 gp (iron), 22,000 gp (stone), 44,000 gp (stone guardian)	5 lbs	A golem manual contains information, incantations, and magical power that help a character to craft a golem. The instructions therein grant a +5 competence bonus on skill checks made to craft the golem's body. Each manual also holds the prerequisite spells needed for a specific golem (although these spells can only be used to create a golem and cannot be copied), effectively granting the builder use of the Craft Construct feat during the construction of the golem, and an increase to her caster level for the purpose of crafting a golem.  The spells included in a golem manual require a spell trigger activation and can be activated only to assist in the construction of a golem. The cost of the book does not include the cost of constructing the golem's body. Once the golem is finished, the writing in the manual fades and the book is consumed in flames. When the book's ashes are sprinkled upon the golem, it becomes fully animated.  Clay Golem Manual: The book contains animate objects, bless, commune, prayer, and resurrection. The reader may treat her caster level as two levels higher than normal for the purpose of crafting a clay golem. Moderate conjuration, divination, enchantment, and transmutation; CL 11th; Craft Construct, creator must be caster level 11th, animate objects, commune, prayer, resurrection.  Flesh Golem Manual: The book contains animate dead, bull's strength, geas/quest, and limited wish. The reader may treat her caster level as one level higher than normal for the purpose of crafting a flesh golem. Moderate enchantment, necromancy [evil], and transmutation; CL 8th; Craft Construct, creator must be caster level 8th, animate dead, bull's strength, geas/quest, limited wish.  Iron Golem Manual: The book contains cloudkill, geas/quest, limited wish, and polymorph any object. The reader may treat her caster level as four levels higher than normal for the purpose of crafting a iron golem. Strong conjuration, enchantment, and transmutation; CL 16th; Craft Construct, creator must be caster level 16th, cloudkill, geas/quest, limited wish, polymorph any object.  Stone Golem Manual: The book contains geas/quest, limited wish, polymorph any object, and slow. The reader may treat her caster level as three levels higher than normal for the purpose of crafting a stone golem. Strong abjuration and enchantment; CL 14th; Craft Construct, creator must be caster level 14th, antimagic field, geas/quest, limited wish, symbol of stunning.  Stone Golem Guardian Manual: The book contains geas/quest, imbue with spell-like ability, limited wish, polymorph any object, shield other, and slow. The reader may treat her caster level as three levels higher than normal for the purpose of crafting a stone golem guardian. Strong abjuration and enchantment; CL 14th; Craft Construct, creator must be caster level 14th, antimagic field, geas/quest, imbue with spell-like ability, limited wish, polymorph any object, shield other, slow.	Craft Construct, caster must be of a specific level, additional spells; Cost 6,000 gp (clay), 4,000 gp (flesh), 17,500 gp (iron), 11,000 gp (stone), 22,000 gp (stone guardian)
Hand of Glory	faint varied	5th	neck	8,000 gp	2 lbs	This mummified human hand hangs by a leather cord around a character's neck (taking up space as a magic necklace would). If a magic ring is placed on one of the fingers of the hand, the wearer benefits from the ring as if wearing it herself, and it does not count against her two-ring limit. The hand can wear only one ring at a time. Even without a ring, the hand itself allows its wearer to use daylight and see invisibility each once per day.	Craft Wondrous Item, animate dead, daylight, see invisibility; Cost 4,000 gp
Hand of the Mage	faint transmutation	2nd	neck	900 gp	2 lbs	This mummified elf hand hangs by a golden chain around a character's neck (taking up space as a magic necklace would). It allows the wearer to utilize the spell mage hand at will	Craft Wondrous Item, mage hand; Cost 450 gp
Handy Hoversack	moderate conjuration	9th	-	2,000 gp	5 lbs	A backpack of this sort appears to be well made, well used, and quite ordinary. It is constructed of finely tanned leather, and the straps have brass hardware and buckles. It has two side pouches, each of which appears large enough to hold about a quart of material. In fact, each is like a bag of holding and can actually hold material of as much as 2 cubic feet in volume or 20 pounds in weight. The large central portion of the pack can contain up to 8 cubic feet or 80 pounds of material. Even when so filled, the backpack always weighs only 5 pounds.  While such storage is useful enough, the pack has an even greater power. When the wearer reaches into it for a specific item, that item is always on top. Thus, no digging around and fumbling is ever necessary to find what a haversack contains. Retrieving any specific item from a haversack is a move action, but it does not provoke the attacks of opportunity that retrieving a stored item usually does.	Craft Wondrous Item, secret chest; Cost 1,000 gp
Harp of Charming	faint enchantment	5th	-	7,500 gp	5 lbs	This beautiful and intricately carved harp can be held comfortably in one hand, but both hands are required to utilize its magic. When played, a harp of charming enables the performer to work one suggestion (as the spell, Will DC 14 negates) into the music for each 10 minutes of playing if he can succeed on a DC 14 Perform (string instruments) check. If the check fails, the audience cannot be affected by any further performances from the harpist for 24 hours.	Craft Wondrous Item, suggestion; Cost 3,750 gp
Hat of  Disguise	faint illusion	1st	head	1,800 gp	-	This apparently normal hat allows its wearer to alter her appearance as with a disguise self spell. As part of the disguise, the hat can be changed to appear as a comb, ribbon, headband, cap, coif, hood, helmet, and so on	Craft Wondrous Item, disguise self; Cost 900 gp
Headband of Alluring Charisma	moderate transmutation	8th	headband	4,000 gp (+2), 16,000 gp (+4), 36,000 gp (+6)	1 lb	This attractive silver headband is decorated with a number of small red and orange gemstones. The headband grants the wearer an enhancement bonus to Charisma of +2, +4, or +6. Treat this as a temporary ability bonus for the first 24 hours the headband is worn.	Craft Wondrous Item, eagle's splendor; Cost 2,000 gp (+2), 8,000 gp (+4), 18,000 gp (+6)
Headband of Inspired Wisdom	moderate transmutation	8th	headband	4,000 gp (+2), 16,000 gp (+4), 36,000 gp (+6);	1 lb	This simple bronze headband is decorated with an intricate pattern of small green gemstones. The headband grants the wearer an enhancement bonus to Wisdom of +2, +4, or +6. Treat this as a temporary ability bonus for the first 24 hours the headband is worn.	Craft Wondrous Item, owl's wisdom; Cost 2,000 gp (+2), 8,000 gp (+4), 18,000 gp (+6)
Headband of Mental Prowess	strong transmutation	12th	headband	10,000 gp (+2), 40,000 gp (+4), 90,000 gp (+6)	1 lb	This simple copper headband has a small yellow gem set so that when it rests upon the forehead of the wearer, the yellow gem sits perched on the wearer's brow as if it were a third eye in the middle of his forehead. Often, the headband contains additional designs to further accentuate the appearance of a third, crystal eye.  The headband grants the wearer an enhancement bonus to two mental ability scores (Intelligence, Wisdom, or Charisma) of +2, +4, or +6. Treat this as a temporary ability bonus for the first 24 hours the headband is worn. These bonuses are chosen when the headband is created and cannot be changed. If the headband grants a bonus to Intelligence, it also grants skill ranks as a headband of vast intelligence.	Craft Wondrous Item, eagle's splendor, fox's cunning, and/or owl's wisdom; Cost 5,000 gp (+2), 20,000 gp (+4), 45,000 gp (+6)
Headband of Mental Superiority	strong transmutation	16th	headband	16,000 gp (+2), 64,000 gp (+4), 144,000 gp (+6)	1 lb	This ornate headband is decorated with numerous small white gemstones. The headband grants the wearer an enhancement bonus to all mental ability scores (Intelligence, Wisdom, and Charisma) of +2, +4, or +6. Treat this as a temporary ability bonus for the first 24 hours the headband is worn. The headband also grants skill ranks as a headband of vast intelligence.	Craft Wondrous Item, eagle's splendor, fox's cunning, owl's wisdom; Cost 8,000 gp (+2), 32,000 gp (+4), 77,000 gp (+6)
